Geography_name,Geography_code,Gender,Year,Main_group,Detailed_group,Count,type_of_rate,Rate,LCI,UCI
"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E54000040,Females,2021,Pancreas,All Pancreas,83,Age-standardised,15.4,12.3,19.1
"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",E54000024,Females,2021,Pancreas,All Pancreas,61,Age-standardised,14,10.7,18
NHS Birmingham and Solihull Integrated Care Board,E54000055,Females,2021,Pancreas,All Pancreas,95,Age-standardised,15.9,12.8,19.5
NHS Black Country Integrated Care Board,E54000062,Females,2021,Pancreas,All Pancreas,95,Age-standardised,15.6,12.6,19
"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",E54000039,Females,2021,Pancreas,All Pancreas,83,Age-standardised,17.4,13.8,21.6
"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",E54000044,Females,2021,Pancreas,All Pancreas,146,Age-standardised,16.2,13.6,19
NHS Cambridgeshire and Peterborough Integrated Care Board,E54000056,Females,2021,Pancreas,All Pancreas,93,Age-standardised,20.4,16.5,25
NHS Cheshire and Merseyside Integrated Care Board,E54000008,Females,2021,Pancreas,All Pancreas,230,Age-standardised,16.1,14.1,18.3
NHS Cornwall and the Isles of Scilly Integrated Care Board,E54000036,Females,2021,Pancreas,All Pancreas,66,Age-standardised,16.4,12.7,20.9
NHS Coventry and Warwickshire Integrated Care Board,E54000018,Females,2021,Pancreas,All Pancreas,82,Age-standardised,16.4,13,20.4
NHS Derby and Derbyshire Integrated Care Board,E54000058,Females,2021,Pancreas,All Pancreas,89,Age-standardised,14.4,11.6,17.8
NHS Devon Integrated Care Board,E54000037,Females,2021,Pancreas,All Pancreas,132,Age-standardised,16.2,13.5,19.3
NHS Dorset Integrated Care Board,E54000041,Females,2021,Pancreas,All Pancreas,90,Age-standardised,16.6,13.3,20.5
NHS Frimley Integrated Care Board,E54000034,Females,2021,Pancreas,All Pancreas,57,Age-standardised,15.7,11.8,20.3
NHS Gloucestershire Integrated Care Board,E54000043,Females,2021,Pancreas,All Pancreas,73,Age-standardised,18.8,14.7,23.7
NHS Greater Manchester Integrated Care Board,E54000057,Females,2021,Pancreas,All Pancreas,198,Age-standardised,15.1,13,17.3
NHS Hampshire and Isle of Wight Integrated Care Board,E54000042,Females,2021,Pancreas,All Pancreas,181,Age-standardised,16.7,14.4,19.4
NHS Herefordshire and Worcestershire Integrated Care Board,E54000019,Females,2021,Pancreas,All Pancreas,91,Age-standardised,17.4,14,21.3
NHS Hertfordshire and West Essex Integrated Care Board,E54000025,Females,2021,Pancreas,All Pancreas,124,Age-standardised,16.3,13.5,19.4
NHS Humber and North Yorkshire Integrated Care Board,E54000051,Females,2021,Pancreas,All Pancreas,180,Age-standardised,17.4,14.9,20.1
NHS Kent and Medway Integrated Care Board,E54000032,Females,2021,Pancreas,All Pancreas,182,Age-standardised,17.8,15.3,20.6
NHS Lancashire and South Cumbria Integrated Care Board,E54000048,Females,2021,Pancreas,All Pancreas,141,Age-standardised,14.7,12.4,17.3
