Geography_name,Geography_code,Gender,Year,Main_group,Detailed_group,type_of_rate,Rate,LCI,UCI,Count
"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E54000040,Males,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,16.6,13,20.8,75
"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",E54000024,Males,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,16.6,12.7,21.4,62
NHS Birmingham and Solihull Integrated Care Board,E54000055,Males,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,19.4,15.7,23.8,96
NHS Black Country Integrated Care Board,E54000062,Males,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,20.1,16.4,24.4,102
"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",E54000039,Males,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,17.6,13.8,22.2,72
"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",E54000044,Males,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,15,12.3,18,113
NHS Cambridgeshire and Peterborough Integrated Care Board,E54000056,Males,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,15.9,12.2,20.3,64
NHS Cheshire and Merseyside Integrated Care Board,E54000008,Males,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,20.4,17.9,23.2,241
NHS Cornwall and the Isles of Scilly Integrated Care Board,E54000036,Males,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,20.2,15.5,25.9,64
NHS Coventry and Warwickshire Integrated Care Board,E54000018,Males,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,21,16.8,25.9,88
NHS Derby and Derbyshire Integrated Care Board,E54000058,Males,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,22,18.1,26.5,114
NHS Devon Integrated Care Board,E54000037,Males,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,14.3,11.6,17.5,98
NHS Dorset Integrated Care Board,E54000041,Males,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,15.6,12.2,19.7,72
NHS Frimley Integrated Care Board,E54000034,Males,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,21.9,16.9,28,66
NHS Gloucestershire Integrated Care Board,E54000043,Males,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,11,7.7,15.2,36
NHS Greater Manchester Integrated Care Board,E54000057,Males,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,26.5,23.5,29.8,294
NHS Hampshire and Isle of Wight Integrated Care Board,E54000042,Males,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,19.3,16.5,22.4,174
NHS Herefordshire and Worcestershire Integrated Care Board,E54000019,Males,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,18.5,14.7,23,82
NHS Hertfordshire and West Essex Integrated Care Board,E54000025,Males,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,16.3,13.3,19.8,101
NHS Humber and North Yorkshire Integrated Care Board,E54000051,Males,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,15.9,13.4,18.8,144
NHS Kent and Medway Integrated Care Board,E54000032,Males,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,14.1,11.7,16.8,123
NHS Lancashire and South Cumbria Integrated Care Board,E54000048,Males,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,19,16.2,22.2,164
"NHS Leicester, Leicestershire and Rutland Integrated Care Board",E54000015,Males,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,21.7,17.7,26.3,106
NHS Lincolnshire Integrated Care Board,E54000013,Males,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,18.7,14.8,23.3,80
NHS Mid and South Essex Integrated Care Board,E54000026,Males,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,20,16.5,24.1,111
NHS Norfolk and Waveney Integrated Care Board,E54000022,Males,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,19.6,16.2,23.5,118
NHS North Central London Integrated Care Board,E54000028,Males,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,19.3,15.3,23.9,87
NHS North East and North Cumbria Integrated Care Board,E54000050,Males,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,22.9,20.5,25.6,334
NHS North East London Integrated Care Board,E54000029,Males,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,22.6,18.5,27.3,117
NHS North West London Integrated Care Board,E54000027,Males,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,24.9,21.2,29.1,168
NHS Northamptonshire Integrated Care Board,E54000059,Males,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,11.6,8.3,15.8,40
NHS Nottingham and Nottinghamshire Integrated Care Board,E54000060,Males,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,20.3,16.6,24.5,105
"NHS Shropshire, Telford and Wrekin Integrated Care Board",E54000011,Males,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,17.5,12.8,23.2,48
NHS Somerset Integrated Care Board,E54000038,Males,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,18.1,13.8,23.4,60
NHS South East London Integrated Care Board,E54000030,Males,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,20.4,16.6,24.7,111
NHS South West London Integrated Care Board,E54000031,Males,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,19.6,15.9,23.9,101
NHS South Yorkshire Integrated Care Board,E54000061,Males,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,20.7,17.2,24.8,124
NHS Staffordshire and Stoke-on-Trent Integrated Care Board,E54000010,Males,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,22.1,18.3,26.3,126
NHS Suffolk and North East Essex Integrated Care Board,E54000023,Males,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,16.9,13.6,20.9,88
NHS Surrey Heartlands Integrated Care Board,E54000063,Males,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,16.6,13.1,20.7,79
NHS Sussex Integrated Care Board,E54000064,Males,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,16.7,14.1,19.6,147
NHS West Yorkshire Integrated Care Board,E54000054,Males,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,22.3,19.3,25.5,217
